Fecha de Sismo,Año,Estado,Defunciones,Población, Total de daños(millones de pesos) ,Magnitudes
7-Oct,2001,Guerrero,0,3000,29250000,6.70
21-Jan,2003,Colima,23,450000,1078900000,7.60
21-Jan,2003,Jalisco,2,37000,193600000,0.00
21-Jan,2003,MichoacÃ¡n,1,40000,17300000,0.00
13-Apr,2007,Guerrero,0,3655,22240000,0.00
12-Feb,2008,Oaxaca,0,6970,10650000,6.60
12-Feb,2008,Guerrero,0,5,40000,0.00
27-Apr,2009,Guerrero,1,8055,26520000,5.70
29-Oct,2009,Veracruz,0,70,38480000,0.00
4-Apr,2010,Baja California,2,35233,8644100000,7.20
4-Apr,2010,Sonora,0,3910,132450000,7.20
10-Dec,2011,Guerrero,2,3371,35070000,6.50
20-Mar,2012,Guerrero,2,118000,733000000,0.00
20-Mar,2012,Oaxaca,0,46242,686500000,0.00
15-Nov,2012,Guerrero,0,350,54900000,6.10
15-Nov,2012,Guerrero,0,250,1400000,6.10
21-Aug,2013,Guerrero,0,390,171830000,6.00
7-Jul,2014,Chiapas,3,186454,1634900000,6.90
18-Apr,2014,Guerrero,0,31570,602700000,7.20
18-Apr,2014,CDMX,0,270,54100000,7.20
7-Sep,2017,Chiapas,16,1579575,8860820000,8.20
14-Jun,2017,Chiapas,0,830032,260600000,7.00
19-Sep,2017,Ciudad de MÃ©xico,228,1820000,43996120000,0.00
19-Sep,2017,Guerrero,6,535053,1839510000,0.00
19-Sep,2017,MÃ©xico,15,1486691,3929180000,0.00
19-Sep,2017,Morelos,74,1903811,7322060000,0.00
7-Sep,2017,Oaxaca,79,1187585,10322600000,8.20
19-Sep,2017,Oaxaca,1,240421,218700000,7.10
19-Sep,2017,Puebla,45,4050452,4494930000,7.10
19-Sep,2017,Tlaxcala,0,145,298600000,7.10
7-Sep,2017,Veracruz,0,688225,73600000,8.10
16-Feb,2018,Oaxaca,0,60168,1425210000,7.20
16-Feb,2018,Guerrero,0,0,36250000,7.20
1-Feb,2019,Chiapas,0,197,111530000,6.50
4-Jan,2020,Oaxaca,0,1068,13360000,5.30
16-Jan,2020,Oaxaca,0,873,26140000,5.30
23-Jun,2020,Oaxaca,7,7160,2227840000,7.40
23-Jun,2020,Ciudad de MÃ©xico,0,160,180000,7.50
19-Mar,2021,Guerrero,0,400,130000,5.70
7-Sep,2021,Guerrero,3,32108,209560000,5.70
